Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
graphicriver.net,False,False,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
ecnavi.jp,False,False,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0
hubpages.com,False,False,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
extratorrent.cc,False,False,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
icicibank.com,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
nypost.com,False,False,1,4,0,0,1,0,1,1,1,1,0,0,1,0,0
kienthuc.net.vn,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
thenextweb.com,False,False,1,6,0,0,0,0,1,1,1,1,0,0,1,0,0
tobogo.net,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
akhbarelyom.com,False,False,1,5,0,0,0,0,1,1,1,1,0,0,1,0,0
tunein.com,False,False,1,5,0,0,0,0,1,1,1,1,0,0,1,1,0
tune.pk,False,False,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
sfglobe.com,False,False,1,4,0,0,0,0,1,1,1,1,1,0,1,0,0
mic.com,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,1,0
thenextweb.com,False,False,1,6,0,0,0,0,1,1,1,1,0,0,1,0,0
couchtuner.eu.com,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
olx.in,False,False,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
venturebeat.com,False,False,1,4,0,0,1,0,1,1,1,1,0,0,1,0,0
allegro.pl,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
allegro.pl,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
tinnhanh360.net,False,False,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
metro.co.uk,False,False,1,4,0,0,0,0,1,1,1,1,0,0,1,0,0
atwiki.jp,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
emgn.com,False,False,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
nguyentandung.org,False,False,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0
motthegioi.vn,False,False,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
spankbang.com,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
torcache.net,False,False,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
mic.com,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
thenextweb.com,False,False,1,7,0,0,0,0,1,1,1,1,0,0,1,0,0
emgn.com,False,False,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
depositphotos.com,False,False,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
serverfault.com,False,False,1,3,0,0,1,0,1,1,1,1,0,0,1,0,0
kakaku.com,False,False,1,6,0,0,0,0,1,1,1,1,0,0,1,0,0
indianexpress.com,False,False,1,4,0,0,0,0,1,1,1,1,0,0,1,0,0
nypost.com,False,False,1,4,0,0,1,0,1,1,1,1,0,0,1,0,0
distractify.com,False,False,1,10,0,0,0,0,1,1,1,1,0,0,1,0,0
sourceforge.net,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
babal.net,False,False,1,4,0,0,0,0,1,0,1,1,0,0,1,0,0
serverfault.com,False,False,1,3,0,0,1,0,1,1,1,1,0,0,1,0,0
cookpad.com,False,False,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
plarium.com,False,False,1,5,0,0,0,0,1,1,1,1,0,0,1,0,0
pikabu.ru,False,False,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
grantland.com,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
allegro.pl,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
nguyentandung.org,False,False,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0
allegro.pl,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
europa.eu,False,False,1,6,0,0,0,0,1,1,1,1,0,0,1,1,0
extratorrent.cc,False,False,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
persianblog.ir,False,False,1,4,0,0,0,0,1,0,1,1,1,1,1,1,0
distractify.com,False,False,1,10,0,0,0,0,1,1,1,1,0,0,1,0,0
kenh14.vn,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
twitter.com,False,False,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
nesn.com,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
fishki.net,False,False,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
syosetu.com,False,False,1,3,0,0,0,0,1,1,1,1,1,0,1,0,0
akhbarelyom.com,False,False,1,5,0,0,0,0,1,1,1,1,0,0,1,0,0
allegro.pl,False,False,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
getpocket.com,False,False,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0
mylust.com,False,False,1,3,0,0,1,0,1,1,1,1,0,0,1,0,0
censor.net.ua,False,False,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
pornsharing.com,False,False,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
genius.com,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
sourceforge.net,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
codecanyon.net,False,False,1,4,0,0,0,0,1,1,1,1,0,0,1,1,0
qz.com,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
kenh14.vn,False,False,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
uproxx.com,False,False,1,4,0,0,1,0,1,1,1,1,0,0,1,0,0
babal.net,False,False,1,4,0,0,0,0,1,0,1,1,0,0,1,0,0
mic.com,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
torcache.net,False,False,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
paytm.com,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
motthegioi.vn,False,False,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
torcache.net,False,False,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
thenextweb.com,False,False,1,6,0,0,0,0,1,1,1,1,0,0,1,0,0
extratorrent.cc,False,False,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
genius.com,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
thenextweb.com,False,False,1,5,0,0,0,0,1,1,1,1,0,0,1,0,0
kienthuc.net.vn,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
sourceforge.net,False,False,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
nypost.com,False,False,1,4,0,0,1,0,1,1,1,1,0,0,1,0,0
ap.org,False,False,1,4,0,0,0,0,1,1,1,1,0,0,1,0,0
indianexpress.com,False,False,1,4,0,0,0,0,1,1,1,1,0,0,1,0,0
extratorrent.cc,False,False,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
correios.com.br,False,False,1,5,0,0,0,0,1,1,1,1,0,0,1,0,0
web.de,False,False,1,6,0,0,0,0,1,1,1,1,0,0,1,0,0
noticias.uol.com.br,False,False,1,6,0,0,0,0,1,1,1,1,0,0,1,0,0
bdnews24.com,False,False,1,5,0,0,0,0,1,1,1,1,0,0,1,0,0
kenh14.vn,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
codecanyon.net,False,False,1,4,0,0,0,0,1,1,1,1,0,0,1,1,0
tunein.com,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
nguyentandung.org,False,False,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0
kickass.to,False,False,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
weathernews.jp,False,False,1,4,0,0,0,0,1,1,1,1,0,0,1,0,0
atwiki.jp,False,False,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
