Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
meriprocaseinbanfro.42web.io,False,False,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
betasus111.blogspot.com,False,False,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
roygijvhluozwnflsypmewrstt-dot-gl44393333333.rj.r.appspot.com,False,False,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1
appurl.io,False,False,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1
richardbashara.com,False,False,0,3,0,0,0,0,1,1,1,1,0,0,1,0,1
aguigom.cl,False,False,1,5,0,0,0,0,1,1,1,1,0,0,1,0,1
register-my-device.com,False,False,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
glamournailsbyleda.com,False,True,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1
whatsapp-clone-teamwork.firebaseapp.com,False,False,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
user-authorizationxx3109.storz.ma,False,False,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
sites.google.com,False,False,0,2,0,0,0,0,1,1,1,1,0,0,1,0,1
contapessoal.digital,False,False,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
siliconcare.com.np,False,False,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
auth-redirect08c.com,False,False,0,3,0,0,0,1,1,1,1,1,0,0,1,0,1
hotelsanantonio.com.mx,False,False,0,2,0,0,0,0,1,1,1,1,0,0,1,0,1
rfeldman.russellfeldman.com,False,False,1,3,1,0,0,0,1,1,1,1,0,0,1,0,1
kunsilindustry.com,False,False,0,2,0,0,0,0,1,1,1,1,0,0,1,0,1
157.230.37.22,False,False,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1
livewalletkonnect.com,False,False,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
aaekt.app.link,False,False,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
sites.google.com,False,False,0,3,0,0,0,0,1,1,1,1,0,0,1,0,1
accounts-autoscout24.de,False,False,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
